ORLY,O'Reilly Automotive,353.44,11.31,354.48,340.83,1017400,t,s
PAYX,Paychex Inc,69,0.52,69.27,68.39,1854500,t,s
PCAR,Paccar Inc,60.15,0.25,60.52,59.36,1716300,t,s
PEP,Pepsico Inc,116.06,0.45,116.5,115.25,2925000,t,s
PYPL,Paypal Holdings,89.04,0.81,89.06,87.68,7539100,t,s
QCOM,Qualcomm Inc,58.05,-5.16,60.15,57.6,32155301,t,s
QRTEA,Qurate Retail Group,23.67,-0.4,24.34,23.34,5281200,t,s
REGN,Regeneron Pharmaceutical,363.34,-0.91,365.47,358.02,536500,t,s
ROST,Ross Stores Inc,103.33,0.58,104.35,102.06,2153200,t,s
SBUX,Starbucks Corp,68.72,0.56,68.98,67.63,14081600,t,s
SHPG,Shire Plc Ads,180.95,0,181.2,180.38,1569000,t,s
SIRI,Sirius XM Holdings I,6.21,-0.09,6.34,6.16,21964102,t,s
SNPS,Synopsys Inc,94.34,1.12,94.35,92.8,851200,t,s
STX,Seagate Tech Ord Shs,45.33,-0.47,46.39,45.08,4497100,t,s
SWKS,Skyworks Solutions,83.4,0.75,84.31,81.44,2667300,t,s
SYMC,Symantec Corp,22.39,-0.42,23.03,22.22,14481800,t,s
TMUS,T-Mobile US,69.75,-0.59,70.75,69.51,2763600,t,s
TSLA,Tesla Inc,351.4,3.24,357.58,348.44,7088700,t,s
TTWO,Take-Two Interacti,119.14,-6.67,129.98,117.8,7482800,t,s
TXN,Texas Instruments,98.48,1.28,98.79,96.24,5948200,t,s
ULTA,Ulta Salon Cosmetic,304.49,13.98,308.88,275.11,1955700,t,s
VOD,Vodafone Grp Plc Ads,19.09,-0.42,19.43,19.01,7163700,t,s
VRSK,Verisk Analytics Inc,122.72,1.77,122.73,120.41,541300,t,s
VRTX,Vertex Pharmaceutic,180.26,-3.62,185.57,179.63,1101700,t,s
WBA,Walgreens Boots Alliance,82.44,0.53,83,81.31,5344400,t,s
WDAY,Workday Inc,145.99,1.75,146.88,142.37,1629100,t,s
WDC,Western Digital Cp,47.56,-0.97,48.92,47.32,3998900,t,s
WYNN,Wynn Resorts Ltd,99.02,-14.97,102.53,97.25,13476400,t,s
XLNX,Xilinx Inc,86.68,1.58,87.13,84.25,2765200,t,s
XRAY,Dentsply Sirona Inc,36.8,0.29,36.95,35.76,3963400,t,s
